FID,id1,aa,company,a_m,thesh,kal_dhmos,kal_dhm_enothta,kal_perif_enothta,kal_perifereia,epo,power_mw,katastash_code,katastash_descr,paratiriseis,imerominia,imerominia_ekdosis_adeias,geometry
V_SDI_R_AIOLIKA13.32924,32924,Β-00179,ΑΙΟΛΙΚΗ ΕΥΒΟΙΑΣ ΔΙΑΚΟΦΤΗΣ Α.Ε.,ΑΔ-00544,ΔΙΑΚΟΦΤΗΣ,ΚΑΡΥΣΤΟΥ,ΣΤΥΡΕΩΝ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,11.7,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-07-21,"MULTIPOLYGON (((24.260268459022427 38.13338787378708, 24.26120594186696 38.13389951280432, 24.263467845319465 38.131452039927304, 24.264747500251385 38.131926832478584, 24.265847451977688 38.133186116323095, 24.26847539859173 38.13415350358455, 24.269517707827003 38.132123276269624, 24.270914514042772 38.13340886897482, 24.271802685734375 38.132911123080845, 24.270004926206397 38.1311938568793, 24.268942568856062 38.13086282639148, 24.267809472887784 38.13302844542046, 24.266540894325676 38.132472547596244, 24.265440941504735 38.13121327009486, 24.263772285193493 38.13044194225941, 24.26260388748269 38.12916476603214, 24.261433280669895 38.127256698290765, 24.261289557523124 38.12534633890816, 24.262471945561767 38.12418107287117, 24.264729226367553 38.12370735109958, 24.264292635067953 38.12286114572588, 24.261921353557643 38.123353138626534, 24.260147876089064 38.125132569084556, 24.26038492502774 38.12762854450715, 24.261578362349063 38.129545584405214, 24.26251883907343 38.13090439395415, 24.260268459022427 38.13338787378708)))"
V_SDI_R_AIOLIKA13.32926,32926,Γ-00927,C.N.I. AIOΛΙΚΟ ΠΑΡΚΟ ΚΟΥΚΟΥΡΑ ΑΕ,ΑΔ-01154,ΚΟΥΚΟΥΡΑ,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΝΑΙ,15.3,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2005-04-20,2008-11-26,"MULTIPOLYGON (((22.48565975622178 37.36363391234859, 22.483387879938398 37.369913892325776, 22.49036416118519 37.37117484551054, 22.491016672602427 37.36735265088994, 22.48565975622178 37.36363391234859)), ((22.478826513690812 37.3558851700899, 22.477658236260147 37.35726715290622, 22.477106031199227 37.358891395893714, 22.475757776445878 37.36079379430188, 22.475845485338134 37.36315632765923, 22.47861618614009 37.36406626360017, 22.47800638226372 37.36183220878096, 22.480900587891814 37.35661484235532, 22.478826513690812 37.3558851700899)))"
V_SDI_R_AIOLIKA13.32927,32927,Γ-00884,ΑΙΟΛΙΚΑ ΠΑΡΚΑ ΚΑΘΑΡΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ ,ΑΔ-01262,ΚΑΘΑΡΑ,ΚΑΡΥΣΤΟΥ,"ΚΑΦΗΡΕΩΣ,ΜΑΡΜΑΡΙΟΥ",ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,18.4,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2005-03-29,2009-06-16,"MULTIPOLYGON (((24.513543121236452 38.11701687162914, 24.515628451232622 38.11858381438412, 24.518597827860084 38.11728983191886, 24.521227902189068 38.11220917181742, 24.522842351538607 38.11106214039132, 24.53009993704317 38.114731929872086, 24.53289795142022 38.11783523778823, 24.53628700979281 38.11923314284249, 24.53743344790725 38.117132669466905, 24.534837816632255 38.11610328119702, 24.53303425444793 38.11410302302591, 24.53467112468653 38.112469535132924, 24.5361834726641 38.110274188898835, 24.537785385812395 38.108148900236515, 24.539966039330082 38.107079721707514, 24.54274002110276 38.10621244869138, 24.545776814399535 38.1042569349093, 24.547607273407575 38.10207347199087, 24.549311543924972 38.10044053691082, 24.55286722141473 38.0990657170588, 24.551614071018715 38.097041895968715, 24.54750438251214 38.098630912650904, 24.545312634190278 38.100730856030694, 24.543639255223432 38.1027268882525, 24.541280691939537 38.10424563801281, 24.538679524332423 38.105058865211625, 24.535691168322966 38.10652404144251, 24.533705204434593 38.10915874459736, 24.532283402453142 38.111222552221605, 24.530993968828657 38.11250929159324, 24.522550565827434 38.10830369160865, 24.518893551616266 38.110828698458064, 24.51630963434015 38.11568752150034, 24.513543121236452 38.11701687162914)))"
V_SDI_R_AIOLIKA13.32934,32934,Γ-00889,ΑΙΟΛΙΚΟ ΠΑΡΚΟ ΚΟΡΦΟΒΟΥΝΙ ΑΕ,ΑΔ-03294,ΚΟΡΦΟΒΟΥΝΙ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΕΒΡΟΥ,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,ΝΑΙ,16.1,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2005-03-29,2012-09-27,"MULTIPOLYGON (((25.923240958667964 41.05779579804109, 25.923662848527076 41.0600225828986, 25.92923271906285 41.05943171451757, 25.93177420774345 41.057427823324275, 25.93512029658845 41.05454051875883, 25.937307802953626 41.05175934103541, 25.938550313780226 41.04996541387702, 25.941625882146504 41.04857199202327, 25.94383462344782 41.04440792771325, 25.941076936797785 41.04357124533365, 25.93923952518193 41.047029534084785, 25.936306687334845 41.048358225640726, 25.93470545012912 41.05065913513927, 25.932703951788035 41.05321173443649, 25.92957588822055 41.05590638844576, 25.927796393395585 41.057314307312325, 25.923240958667964 41.05779579804109)))"
V_SDI_R_AIOLIKA13.32931,32931,Γ-05843,ΚΑΡΥΔΑΣ Σ.- ΣΙΕΤΗΣ Θ. & ΣΙΑ Ε.Ε. (ΕΝΕΡΓΕΙΑΚΗ ΣΥΝΕΡΓΕΙΑ Ε.Ε.),ΑΔ-03426,ΜΕΓΑΛΟ ΒΟΥΝΟ,ΤΑΝΑΓΡΑΣ,ΔΕΡΒΕΝΟΧΩΡΙΩΝ,ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,0.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2014-03-10,2014-10-09,"MULTIPOLYGON (((23.55460480062024 38.17172104737154, 23.56116530067685 38.17237662170716, 23.561319545841915 38.17140384512698, 23.554783388717155 38.17051404610186, 23.55460480062024 38.17172104737154)))"
V_SDI_R_AIOLIKA13.32937,32937,Ι-100477,ΔΕΗ ΑΝΑΝΕΩΣΙΜΕΣ ΑΕ,ΑΔ-01147,ΠΕΡΔΙΚΙ,ΙΚΑΡΙΑΣ,ΑΓΙΟΥ ΚΗΡΥΚΟΥ,ΙΚΑΡΙΑΣ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,0.385,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2008-03-05,1991-12-31,"MULTIPOLYGON (((26.302159546490252 37.650413686805805, 26.30307618379142 37.651153205624965, 26.303173095013722 37.65111670844228, 26.303407413985212 37.65105950396426, 26.303532896276703 37.651056331695855, 26.303661668737163 37.65106426930726, 26.30352821778563 37.650160406887686, 26.303006868494187 37.64974975224773, 26.302159546490252 37.650413686805805)))"
V_SDI_R_AIOLIKA13.32942,32942,Γ-01328,ΑΙΟΛΙΚΑ ΠΑΡΚΑ ΠΛΑΤΑΝΟΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ,ΑΔ-01257,ΠΛΑΤΑΝΟΣ,ΚΑΡΥΣΤΟΥ,ΜΑΡΜΑΡΙΟΥ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,13.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2006-01-24,2009-06-16,"MULTIPOLYGON (((24.455996303721903 38.09056974942914, 24.45155282357883 38.0920280739146, 24.44874655132528 38.09199809498582, 24.445360170131966 38.09527754697698, 24.443226656907807 38.09612268930871, 24.444527578811677 38.0981366067336, 24.44728936973411 38.09703144301237, 24.449994872509027 38.09426477832447, 24.452102726777074 38.094287276969894, 24.45708976776163 38.09265056777995, 24.455996303721903 38.09056974942914)))"
V_SDI_R_AIOLIKA13.32943,32943,Γ-01654,ΕΝΑΛΛΑΚΤΙΚΗ ΕΝΕΡΓΕΙΑ AE,ΑΔ-01295,ΥΨΩΜΑΤΑ ΠΑΠΑΘΑΝΑΣΙΟΥ & ΓΡΕΣΚΟΥ,"ΚΑΣΤΟΡΙΑΣ,ΠΡΕΣΠΩΝ","ΚΑΣΤΡΑΚΙΟΥ,ΚΡΥΣΤΑΛΛΟΠΗΓΗΣ","ΚΑΣΤΟΡΙΑΣ,ΦΛΩΡΙΝΑΣ",ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΝΑΙ,13.2,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2006-06-29,2009-09-14,"MULTIPOLYGON (((21.108142787843878 40.604586231227735, 21.108873141755833 40.60919756872362, 21.110891821224673 40.612814899801016, 21.111418800170476 40.61347659607433, 21.11774705701084 40.61198653013785, 21.11323907359125 40.60606432850021, 21.108142787843878 40.604586231227735)))"
V_SDI_R_AIOLIKA13.32940,32940,00237,ΑΙΟΛΙΚΑ ΠΑΡΚΑ ΤΡΙΚΟΡΦΟ Α.Ε.,ΑΔ-00439,ΤΡΙΚΟΡΦΟ,ΚΑΡΥΣΤΟΥ,ΜΑΡΜΑΡΙΟΥ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,11.5,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2003-02-11,"MULTIPOLYGON (((24.29007050973743 38.0953567854204, 24.287431136905397 38.097012590843605, 24.288369970492347 38.09793859652368, 24.291009390911466 38.09629178281773, 24.29007050973743 38.0953567854204)), ((24.306095824869537 38.09308099297798, 24.305975339388482 38.094270980394356, 24.308176929277543 38.09440041780309, 24.309650020431558 38.094856192105496, 24.311191518068316 38.09530275407695, 24.312811751742526 38.09548771863559, 24.314798869366587 38.09612231231739, 24.31536437164858 38.09502124983844, 24.313205984237246 38.09433304608449, 24.31156292838597 38.094139134714084, 24.308514132808376 38.0932278848419, 24.306095824869537 38.09308099297798)))"
V_SDI_R_AIOLIKA13.32947,32947,Γ-00767,ΠΕΡΓΑΝΤΗ ΜΕΔΕΩΝΟΣ ΠΑΛΑΙΡΟΥ ΚΑΙ ΑΝΑΚΤΩΡΙΟΥ ΑΚΑΡΝΑΝΙΚΩΝ ΑΙΤΩΛΟΚΑΡΝΑΝΙΑΣ ΑΙΟΛΙΚΗ ΕΝΕΡΓΕΙΑΚΗ ΑΕ,ΑΔ-00926,ΠΕΡΓΑΝΤΗ,ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,"ΑΝΑΚΤΟΡΙΟΥ,ΜΕΔΕΩΝΟΣ,ΠΑΛΑΙΡΟΥ",ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΝΑΙ,41.8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2004-07-28,2006-04-14,"MULTIPOLYGON (((20.999378526820276 38.792820675990455, 20.994097964599238 38.797126250392, 20.98973787395065 38.79896884946151, 20.98797104615783 38.80210342797317, 20.986468525173187 38.8025150992669, 20.98471740382966 38.805271655149106, 20.984453769384686 38.807426982635235, 20.979594059919233 38.809355378073356, 20.980350114227118 38.81053708421636, 20.986177410205187 38.80832733921269, 20.986807774014363 38.80593823289192, 20.98809034024243 38.80391729747183, 20.990187374465858 38.803331746996044, 20.992141031191423 38.79985960877637, 20.99503603016832 38.79863687211274, 21.000874863536115 38.79392217817696, 20.999378526820276 38.792820675990455)), ((20.98908324244437 38.761465761304876, 20.987140412888028 38.76224447886201, 20.98960469492577 38.767398091485155, 20.990810394991115 38.769375101911095, 20.991752385558215 38.774615557732616, 20.995171617571 38.7797936538188, 20.994166424034503 38.78317316518996, 20.993352716498016 38.788566590032154, 20.99626535332151 38.7888307445669, 20.996187103974897 38.785486412241866, 20.997614842041394 38.77944208911628, 20.99516514637407 38.775289009383485, 20.994048108678975 38.77393594285928, 20.99277410687415 38.76728155529059, 20.98908324244437 38.761465761304876)))"
V_SDI_R_AIOLIKA13.32960,32960,00013, ΕΞΑΣ Ι.Κ.Ε.,ΑΔ-00102,ΕΞΩ ΧΙΟΝΙ - ΚΑΟΥΡI,ΚΑΡΠΑΘΟΥ,ΚΑΡΠΑΘΟΥ,ΚΑΡΠΑΘΟΥ - ΗΡΩΙΚΗΣ ΝΗΣΟΥ ΚΑΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,0.5,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-07,2001-09-11,"MULTIPOLYGON (((27.11885550833978 35.46775330767333, 27.11969330945232 35.46776768559972, 27.11981945734748 35.46761121263435, 27.120214472684328 35.46728556129047, 27.120404910079873 35.467082362684046, 27.122793168569792 35.46702639814252, 27.12304385868165 35.46581541080279, 27.121071374085847 35.46551499705149, 27.11815100799632 35.46662696142283, 27.11885550833978 35.46775330767333)))"
V_SDI_R_AIOLIKA13.32961,32961,00014, ΕΞΑΣ Ι.Κ.Ε.,ΑΔ-00067,ΜΑΥΡΑΝΤΩΝΙ,ΚΑΡΥΣΤΟΥ,"ΚΑΡΥΣΤΟΥ,ΜΑΡΜΑΡΙΟΥ",ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,1.2,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-07,2001-07-16,"MULTIPOLYGON (((24.392528534030554 38.056318075289475, 24.38971946006862 38.05855639101015, 24.39370222890161 38.06168109736559, 24.396511300218744 38.05944268650243, 24.392528534030554 38.056318075289475)))"
V_SDI_R_AIOLIKA13.33035,33035,00405,WRE HELLAS SA,ΑΔ-00340,ΠΛΑΤΥΒΟΛΑ ΚΡΥΩΝ,ΣΗΤΕΙΑΣ,ΣΗΤΕΙΑΣ,ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,ΝΑΙ,3,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2002-07-18,"MULTIPOLYGON (((26.03486465991787 35.1427166095904, 26.033414507041872 35.143101571548705, 26.032340265068438 35.14359740868474, 26.03221085424222 35.14368973252666, 26.031853292685945 35.1438760360526, 26.03222967673434 35.14444669968506, 26.033540583730886 35.14375756994886, 26.03402736203933 35.144353420324066, 26.034298538315884 35.145106149099036, 26.03544694409471 35.14538436122359, 26.035983379920925 35.14488852179443, 26.037047282635992 35.14397812423072, 26.03676084789467 35.14305436837287, 26.03611558752227 35.143146353330984, 26.035725770967233 35.14291850796766, 26.0351425207703 35.14285618605545, 26.03486465991787 35.1427166095904)), ((26.041654788737223 35.14169181721156, 26.041472905977837 35.14275868294172, 26.044362202804965 35.1424304833103, 26.043831931476564 35.141853439782636, 26.041654788737223 35.14169181721156)))"
V_SDI_R_AIOLIKA13.33098,33098,Ι-108385,ΔΕΗ ΑΝΑΝΕΩΣΙΜΕΣ ΑΕ,ΑΔ-01134,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,ΚΑΡΠΑΘΟΥ,ΚΑΡΠΑΘΟΥ,ΚΑΡΠΑΘΟΥ - ΗΡΩΙΚΗΣ ΝΗΣΟΥ ΚΑΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,0.45,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2008-03-05,1991-12-31,"MULTIPOLYGON (((27.139399333062595 35.46304015282943, 27.13991548905247 35.46268235610888, 27.138834650001645 35.460725179911186, 27.138084338054714 35.46034969820173, 27.13803040338801 35.46044708233723, 27.137812896201243 35.46084216216125, 27.1388095207462 35.46217527743795, 27.139399333062595 35.46304015282943)))"
V_SDI_R_AIOLIKA13.33114,33114,Γ-00877,ΑΙΟΛΙΚΑ ΠΑΡΚΑ ΜΗΛΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ ,ΑΔ-01261,ΜΗΛΙΑ,ΚΑΡΥΣΤΟΥ,"ΚΑΡΥΣΤΟΥ,ΚΑΦΗΡΕΩΣ",ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,18.4,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2005-03-29,2009-06-16,"MULTIPOLYGON (((24.490528569941667 38.057901353891374, 24.489714373983894 38.05887811853729, 24.48449754616082 38.061188957481164, 24.485901201294357 38.06314792806253, 24.491652480073384 38.06062750156283, 24.4924667296474 38.05965973625726, 24.490528569941667 38.057901353891374)), ((24.494352780904386 38.055352769130195, 24.493823300496782 38.05797768622533, 24.500088113613902 38.05899667273402, 24.506315636897895 38.06119614586986, 24.5062976916003 38.05859155948522, 24.50068650228768 38.056479587197046, 24.494352780904386 38.055352769130195)))"
V_SDI_R_AIOLIKA13.33146,33146,00044,VECTOR  ΑΙΟΛΙΚΑ ΠΑΡΚΑ ΕΛΛΑΔΑΣ ΑΕ,ΑΔ-00042,ΠΑΛΙΑ ΚΑΛΥΒΙΑ,ΚΑΡΥΣΤΟΥ,ΜΑΡΜΑΡΙΟΥ,ΕΥΒΟΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,0.78,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-08,2001-06-18,"MULTIPOLYGON (((24.340140050357515 38.03702743517605, 24.340480825800107 38.03679211709677, 24.340137091017024 38.03638753780617, 24.339668013039837 38.03598331964751, 24.339278706050266 38.03557886942083, 24.33791929146933 38.034843737755565, 24.337222130039383 38.03439510116257, 24.33688197432931 38.03476559956752, 24.336905878932384 38.03500887567839, 24.33710033799797 38.03517054804594, 24.337499661267916 38.03527755563771, 24.338449101868758 38.03606794950157, 24.33930515509891 38.03637191605669, 24.340140050357515 38.03702743517605)))"
V_SDI_R_AIOLIKA13.33141,33141,Γ-04385,VOLTERRA K-R ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΕΝΕΡΓΕΙΑΣ (δ.τ. VOLTERRA K-R ΑΕ),ΑΔ-02504,ΡΙΓΑΝΟΛΑΚΚΑ - ΠΑΛΙΟΛΗΜΕΡΟ,ΝΑΥΠΑΚΤΙΑΣ,"ΑΝΤΙΡΡΙΟΥ,ΧΑΛΚΕΙΑΣ",ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΝΑΙ,8,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2010-04-12,2011-03-11,"MULTIPOLYGON (((21.70354033453077 38.38768636058213, 21.704330591964744 38.391657491609024, 21.721028486823055 38.3871087257633, 21.723231610931837 38.37745612950677, 21.72431139635575 38.375143351395735, 21.71855338680084 38.37406725426079, 21.71649666588201 38.37686553899654, 21.712605180405777 38.38557498138703, 21.70354033453077 38.38768636058213)))"
V_SDI_R_AIOLIKA13.33157,33157,Γ-00375,ΑΙΟΛΙΚΗ ΛΑΥΚΟΥ ΑΕ,ΑΔ-00585,ΤΡΙΚΟΡΦΟ,ΔΩΡΙΔΟΣ,ΕΥΠΑΛΙΟΥ,ΦΩΚΙΔΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΝΑΙ,24,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2002-12-30,2003-11-06,"MULTIPOLYGON (((22.041646951289906 38.437411062837555, 22.048659976590468 38.43607732756543, 22.047279980612686 38.43159389548799, 22.047234099009973 38.42861950479587, 22.045211102698566 38.42590049144521, 22.043624621601865 38.42441422857161, 22.043056965175875 38.423377494830504, 22.042986012507615 38.42218685863466, 22.043580259214036 38.420115243716296, 22.043394976501077 38.41764313603264, 22.043367435862063 38.417390368093656, 22.039480337548245 38.41458604412238, 22.036156938035493 38.417621156249375, 22.036192487115436 38.418000213730984, 22.03631933510486 38.41966036193229, 22.03573731174155 38.421696099099464, 22.035920366429828 38.42466378151224, 22.03741506106769 38.42741915781751, 22.039291869003037 38.42918069246062, 22.040043692315194 38.430184480913, 22.04006661196285 38.432302443998196, 22.041646951289906 38.437411062837555)))"
V_SDI_R_AIOLIKA13.33163,33163,Γ-00868,ΑΙΟΛΙΚΗ ΑΔΕΡΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΔ-00895,ΣΑΜΠΑΛΕΣ,"ΕΡΜΙΟΝΙΔΑΣ,ΤΡΟΙΖΗΝΙΑΣ - ΜΕΘΑΝΩΝ","ΕΡΜΙΟΝΗΣ,ΤΡΟΙΖΗΝΟΣ","ΑΡΓΟΛΙΔΑΣ,ΝΗΣΩΝ","ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΤΤΙΚΗΣ",ΝΑΙ,17.6,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2005-03-18,2006-02-10,"MULTIPOLYGON (((23.313475067105006 37.46701579107798, 23.312605857262476 37.467503776818326, 23.31233765023792 37.46879718639989, 23.311035595981735 37.46975738173572, 23.310391868435037 37.46997085212771, 23.309987127165392 37.46997119346221, 23.30972011718894 37.470070855605215, 23.309702614473526 37.470375499763755, 23.309638585903055 37.47213618284297, 23.309239514043455 37.47276037871134, 23.308519942891092 37.473297520524525, 23.30765714324745 37.473459217977975, 23.30653404684279 37.47425248945399, 23.306195466727644 37.47477625884088, 23.305317977352484 37.47506863856065, 23.30451337035588 37.475196313608095, 23.303842604609443 37.475257350883496, 23.30071962509772 37.476820867152604, 23.30041498078732 37.477277669908624, 23.300374468808034 37.47791098777774, 23.301367026095242 37.478287404923705, 23.302380137322864 37.47784082381456, 23.30321700234251 37.47728755669444, 23.304930626939072 37.47668076651069, 23.306597787922055 37.475775151887945, 23.30804827326575 37.47534217413284, 23.30869014658909 37.475274364087575, 23.30872431054636 37.47376300134143, 23.309115856299755 37.47314660509458, 23.310161238987245 37.47227696144526, 23.31017507593805 37.471411205717516, 23.31002042559434 37.47118370346992, 23.310219483115212 37.47028297495299, 23.31103382323911 37.47003678990654, 23.311888720395835 37.46947374042729, 23.31257649682566 37.46914181026126, 23.313388445421303 37.46894471853393, 23.313475067105006 37.46701579107798)), ((23.313475067105006 37.46701579107798, 23.3133945311004 37.468947007270096, 23.31453421544042 37.46894596233353, 23.315997781970594 37.469093251041116, 23.317388942213533 37.46877203209818, 23.31909645802151 37.46894187312101, 23.321844359511992 37.46868726979149, 23.32274040449811 37.468767040538424, 23.323816419621515 37.4687659918056, 23.325536648528306 37.46896997375977, 23.32639533388796 37.46913080542359, 23.32731387404477 37.46783710091838, 23.328166848221827 37.46781374114719, 23.32952323615627 37.468072831732854, 23.329553241219912 37.46866374752435, 23.33056283855701 37.46900910041452, 23.331406186635906 37.46973784027119, 23.332850332267874 37.46885663923931, 23.33043404490945 37.46659878831332, 23.328281736018912 37.46660099518024, 23.328281111347664 37.46624108201777, 23.326397796054 37.46623486847265, 23.326399435777002 37.46727467662399, 23.324761075775214 37.46727623253517, 23.324762846164397 37.468412125191136, 23.323122538501146 37.468413737286596, 23.323120906008853 37.46727784549697, 23.32074784001057 37.467280092503856, 23.32074969480874 37.46851242998425, 23.319149418107102 37.46851394660372, 23.319147739753987 37.467364804902346, 23.316954701536613 37.46736684107608, 23.316956003993567 37.46825530992085, 23.316315602250167 37.46825584286059, 23.316327586897977 37.46756070049308, 23.313475067105006 37.46701579107798)))"
V_SDI_R_AIOLIKA13.33199,33199,Γ-00245,EVERWIND LTD,ΑΔ-00625,ΜΕΡΣΙΝΗ,ΜΥΚΟΝΟΥ,ΜΥΚΟΝΟΥ,ΜΥΚΟΝΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΙ,0.9,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2002-06-13,2004-02-10,"MULTIPOLYGON (((25.397850393825486 37.48562647632338, 25.39834038230423 37.48521509479416, 25.398529087536254 37.485023589089856, 25.398808085934437 37.484822001015424, 25.399112891429887 37.48479135259016, 25.39971371583498 37.48486535165211, 25.39983158567159 37.48390858289435, 25.399339811069336 37.48361698197256, 25.398763628291338 37.48365084449888, 25.398150499231253 37.483522908444776, 25.39760471390269 37.48336713364215, 25.397344074378953 37.48394704555116, 25.39730650210137 37.48496595295335, 25.397425790849102 37.4852980209012, 25.397504610023606 37.48527906260571, 25.397850393825486 37.48562647632338)))"
V_SDI_R_AIOLIKA13.33204,33204,Β-00228,ΕΛΛΑΚΤΩΡ Α.Ε.,ΑΔ-00217,ΒΡΩΜΟΣΥΚΙΑ,"ΕΡΜΙΟΝΙΔΑΣ,ΠΟΡΟΥ,ΤΡΟΙΖΗΝΙΑΣ - ΜΕΘΑΝΩΝ","ΕΡΜΙΟΝΗΣ,ΠΟΡΟΥ,ΤΡΟΙΖΗΝΟΣ","ΑΡΓΟΛΙΔΑΣ,ΝΗΣΩΝ","ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΤΤΙΚΗΣ",ΝΑΙ,11.05,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,ΕΠΟ,2001-02-19,2001-12-04,"MULTIPOLYGON (((23.43547150975948 37.46499319376467, 23.431363003235152 37.4669745061407, 23.428523006442347 37.4671861450608, 23.42769264976446 37.46782208908954, 23.427171999518166 37.46788266130483, 23.42738887933396 37.46910054237971, 23.428974017363466 37.46884681970288, 23.43605266946257 37.46741160327802, 23.4428907061264 37.46331582503974, 23.447282147754983 37.46276859067642, 23.45178448271199 37.46406047627195, 23.45389482339771 37.463087767782376, 23.455908978754497 37.46445810787893, 23.465780495684637 37.46450314508896, 23.465786972508596 37.463592803055676, 23.46113431903071 37.46273341659195, 23.456549508937616 37.46345153493633, 23.453395243496153 37.46181454405321, 23.451418908061438 37.46302221896948, 23.447175378702738 37.4619118018635, 23.444087055253448 37.462095613207, 23.44132189132181 37.46139754198018, 23.438075430863417 37.46458196665924, 23.43547150975948 37.46499319376467)))"
