FID,id1,aa,company,a_m,thesh,kal_dhm_enothta,kal_perif_enothta,kal_dhmos,power,area_power,katastash_code,katastash_descr,imerominia,imerominia_ekdosis_adeias,geometry
V_SDI_R_PHOTOVOLTAICS13.13014,13014,Γ-01798,SRP HELLAS 1 A.E.,ΑΔ-01081,ΒΙ.ΠΕ. ΦΛΩΡΙΝΑΣ,ΜΕΛΙΤΗΣ,ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,4.316,20.153,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-03-14,2008-02-29,"MULTIPOLYGON (((21.515643304047213 40.82328056416794, 21.515737835343014 40.82360686021203, 21.517917748135005 40.82460856869661, 21.51834728912707 40.82453674922938, 21.520299289453266 40.8221107682412, 21.520155335820547 40.821837456125074, 21.517472286009163 40.82129333389524, 21.51713552808538 40.821421191390954, 21.515643304047213 40.82328056416794)))"
V_SDI_R_PHOTOVOLTAICS13.13868,13868,Γ-01989,"4 ""Ε'"" ΕΝΕΡΓΕΙΑΚΗ Α.Ε.",ΑΔ-01431,Δ.Δ. ΛΕΧΑΙΝΩΝ,ΛΕΧΑΙΝΩΝ,ΗΛΕΙΑΣ,ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ,2.188,20.489,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-07,2010-01-26,"MULTIPOLYGON (((21.291559628198037 37.95234874070632, 21.292427063678684 37.95104156964191, 21.29083523548552 37.94969775497645, 21.28835827916028 37.95138057367353, 21.288876243577597 37.95181727099181, 21.289968129858185 37.95101113913662, 21.291559628198037 37.95234874070632)))"
V_SDI_R_PHOTOVOLTAICS13.13244,13244,Γ-01904,PHOTON DYNAMICS ΕΝΕΡΓΕΙΑΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ (ΔΤ ENERGY PHOTON DYNAMICS AE),ΑΔ-01461,ΜΠΟΡΔΟΣΑ,ΘΙΣΒΗΣ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,1.997,27.061,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-01,2010-02-22,"MULTIPOLYGON (((22.986853000248647 38.221037449522846, 22.989727800848407 38.22109449078396, 22.98978949872359 38.21916064687713, 22.986914659890118 38.21910360718491, 22.986853000248647 38.221037449522846)))"
V_SDI_R_PHOTOVOLTAICS13.13673,13673,Γ-01722,EMV (ΕΜΒ) ΕΝΕΡΓΕΙΑΚΕΣ ΕΠΕΝΔΥΣΕΙΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΑΔ-01224,ΠΑΛΑΙΟΧΩΡΑ,ΣΚΑΛΑΣ,ΛΑΚΩΝΙΑΣ,ΕΥΡΩΤΑ,9,165.917,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2006-12-13,2009-05-19,"MULTIPOLYGON (((22.60665026245096 36.88299973169148, 22.611113763805058 36.893661249181605, 22.617179561168527 36.88961268965946, 22.61577350302763 36.8804743260032, 22.617062426365706 36.877442657813894, 22.624814715665057 36.87060097581734, 22.622147635469126 36.869181948869155, 22.618328924020958 36.87253583287054, 22.612019900311854 36.876464454448055, 22.60665026245096 36.88299973169148)))"
V_SDI_R_PHOTOVOLTAICS13.13713,13713,Γ-01736,ENEL GREEN POWER HELLAS A.E.,ΑΔ-01404,ΑΓΡΙΛΙΑ ΜΠΑΚΑ,ΓΑΡΓΑΛΙΑΝΩΝ,ΜΕΣΣΗΝΙΑΣ,ΤΡΙΦΥΛΙΑΣ,4.9,21.176,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2006-12-21,2009-12-22,"MULTIPOLYGON (((21.627402939134836 37.08449212982385, 21.629917066565138 37.085821372714264, 21.631145087007873 37.08579837168996, 21.63222220982384 37.08335689109407, 21.631727387911603 37.08298924220805, 21.63036136393096 37.08235977895899, 21.629075508766213 37.082717985109575, 21.627402939134836 37.08449212982385)))"
V_SDI_R_PHOTOVOLTAICS13.12841,12841,Γ-02402,CAPITAL ΠΑΡΑΓΩΓΗ ΚΑΙ ΕΚΜΕΤΑΛΛΕΥΣΗ ΑΝΑΝΕΩΣΙΜΩΝ ΠΗΓΩΝ ΕΝΕΡΓΕΙΑΣ Α.Ε (Δ.Τ. CAPITAL ΑΝΑΝΕΩΣΙΜΕΣ ΠΗΓΩΝ ΕΝΕΡΓΕΙΑΣ Α.Ε),ΑΔ-01473,ΓΑΛΑΝΑΙΚΑ- ΑΓ.ΑΝΤΩΝΙΟΣ,ΑΣΙΝΗΣ,ΑΡΓΟΛΙΔΑΣ,ΝΑΥΠΛΙΕΩΝ,4.133,36.423,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-02-25,"MULTIPOLYGON (((22.940589271206267 37.573008793049155, 22.940718760736083 37.57297282105104, 22.94225997110334 37.57131416701105, 22.943062733782988 37.57066339953155, 22.943277225960095 37.57023701631628, 22.943622195366608 37.569808285199784, 22.94366259194844 37.568800078382395, 22.94331793465498 37.56798878714436, 22.942776611309704 37.567569427009154, 22.941327586959112 37.56747352064159, 22.940691630587747 37.56761292707725, 22.940184992044387 37.5678155914918, 22.939336831435796 37.56811487084105, 22.939096795477663 37.56843304021877, 22.938890833752726 37.56875169562323, 22.938867269646504 37.56899195381777, 22.93908133843666 37.56952276760725, 22.941184031061262 37.572431160962395, 22.940589271206267 37.573008793049155)))"
V_SDI_R_PHOTOVOLTAICS13.12899,12899,Γ-01766,Σ ΖΑΦΕΙΡΑΤΟΣ ΚΑΙ ΣΙΑ ΕΝΕΡΓΕΙΑΚΗ ΕΕ,ΑΔ-01074,ΠΟΥΡΝΑΡΙ,ΘΗΒΑΙΩΝ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,1.25,18.127,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-01-29,2007-12-17,"MULTIPOLYGON (((23.26101475408003 38.2937386748912, 23.260992276212587 38.29362101388474, 23.260982466734653 38.29347198000731, 23.260990991980336 38.293330451645794, 23.2610330790038 38.2931044197601, 23.26109361945145 38.29281776166962, 23.26118105970867 38.29223513115069, 23.260789880419665 38.29210956001819, 23.260314017011336 38.29195668737506, 23.26009505147445 38.29188753466817, 23.260715624047307 38.29247444780598, 23.26063324721614 38.29277178276973, 23.260392780372563 38.29274773648617, 23.259945672174393 38.29269066334925, 23.259858648744455 38.29267957006318, 23.25952293489757 38.29269980195046, 23.25910014695737 38.292725160714156, 23.258944761668094 38.292734543370344, 23.258670203374635 38.29275696153921, 23.258489372312503 38.292760955707884, 23.258355997296444 38.29275371395788, 23.258237856463992 38.292721514391026, 23.258148681302647 38.292910567752855, 23.258047555055224 38.29310531328163, 23.257997658680956 38.29330002225051, 23.25867091834603 38.29333861505993, 23.25894714846946 38.29335441929313, 23.25910344251568 38.29334576335688, 23.25952621574437 38.29332220695002, 23.2599488734638 38.293298738411885, 23.260429402537643 38.29327437147157, 23.260515525935546 38.29372354293031, 23.26101475408003 38.2937386748912)))"
V_SDI_R_PHOTOVOLTAICS13.12297,12297,Γ-01876,ΕΝΕΡΓΕΙΑΚΗ ΒΟΓΙΑΤΖΗ ΑΕ,ΑΔ-01255,ΑΓΡΟΚΤΗΜΑ ΠΕΤΡΟΥΣΑΣ,ΠΡΟΣΟΤΣΑΝΗΣ,ΔΡΑΜΑΣ,ΠΡΟΣΟΤΣΑΝΗΣ,4.995,62.215,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-04-10,2009-05-29,"MULTIPOLYGON (((24.064842908551277 41.18008640230012, 24.060693805798728 41.180124694867764, 24.060715846930623 41.181416289114466, 24.055295756980602 41.18144137437078, 24.055298533551728 41.1847423390149, 24.06078293543869 41.18473957538503, 24.06076578427981 41.18381781214762, 24.06490616866382 41.183779599616706, 24.064842908551277 41.18008640230012)))"
V_SDI_R_PHOTOVOLTAICS13.11358,11358,Γ-01971,"4 ""Ε'"" ΕΝΕΡΓΕΙΑΚΗ Α.Ε.",ΑΔ-01596,ΔΔ ΑΝΔΡΑΒΙΔΑΣ,ΑΝΔΡΑΒΙΔΑΣ,ΗΛΕΙΑΣ,ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ,4.103,18.644,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-07,2010-06-02,"MULTIPOLYGON (((21.294808855769553 37.93923987920873, 21.29715337432049 37.940307922555384, 21.298909450672447 37.93812502792904, 21.295959591156414 37.936802882063354, 21.2958365810629 37.93709217309826, 21.294808855769553 37.93923987920873)))"
V_SDI_R_PHOTOVOLTAICS13.13842,13842,Γ-02310,ΕΝΕRGY PHOTON DYNAMICS A.E,ΑΔ-01422,ΚΡΙΤΙΡΙ,ΦΑΡΣΑΛΩΝ,ΛΑΡΙΣΑΣ,ΦΑΡΣΑΛΩΝ,1.998,26.006,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-01-13,"MULTIPOLYGON (((22.409465005303492 39.31210538349, 22.412084465390198 39.31218619966174, 22.41304340516455 39.311325295512795, 22.413630067876927 39.31051337077355, 22.410245413284454 39.31042214115795, 22.409924199166387 39.31077815865555, 22.40967234702944 39.311144133075885, 22.40972236822822 39.31149621147483, 22.409465005303492 39.31210538349)))"
V_SDI_R_PHOTOVOLTAICS13.12204,12204,Γ-03246,ΠΑΥΛΙΔΗΣ ΑΕ ΜΑΡΜΑΡΑ - ΓΡΑΝΙΤΕΣ,ΑΔ-02251,ΑΓΡΟΚΤ. ΠΕΤΡΟΥΣΑΣ,ΠΡΟΣΟΤΣΑΝΗΣ,ΔΡΑΜΑΣ,ΠΡΟΣΟΤΣΑΝΗΣ,1.96,23.459,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2008-02-07,2010-10-27,"MULTIPOLYGON (((24.05507701051545 41.1814440923641, 24.06073076408599 41.18141280325232, 24.060706119518663 41.18054805910755, 24.055066600338666 41.18055990117704, 24.05507701051545 41.1814440923641)))"
V_SDI_R_PHOTOVOLTAICS13.14209,14209,Γ-01625,Χ. ΡΟΚΑΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΔ-01082,ΒΙ.ΠΕ ΜΕΛΙΓΑΛΑ (ΜΕΛΙΓΑΛΑΣ Ι),ΜΕΛΙΓΑΛΑ,ΜΕΣΣΗΝΙΑΣ,ΟΙΧΑΛΙΑΣ,1.999,21.651,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2006-06-21,2008-03-14,"MULTIPOLYGON (((21.988760324317877 37.212604217807865, 21.98815601528217 37.21456770233492, 21.9907046937892 37.21451338021915, 21.990744045445812 37.21258964641146, 21.988760324317877 37.212604217807865)))"
V_SDI_R_PHOTOVOLTAICS13.13113,13113,Γ-01910,ΗΛΙΟΣΤΟΙΧΕΙΟ ΑΕ,ΑΔ-01930,324 & 325,ΑΙΓΕΙΡΟΥ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ,1.082,30.465,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-01,2010-10-04,"MULTIPOLYGON (((25.219573474889433 40.99295212058098, 25.220535151109267 40.99418532823877, 25.221333101705966 40.99382809956373, 25.221390517692654 40.993556551784856, 25.22133261650735 40.9930610465586, 25.22174173417682 40.99198141157706, 25.22168914035809 40.99148237310263, 25.21927141603523 40.99256476977151, 25.219573474889433 40.99295212058098)))"
V_SDI_R_PHOTOVOLTAICS13.13271,13271,Γ-01943,FORCE DEVELOPMENT A.E.,ΑΔ-01932,ΔΔ ΓΡΑΜΜΑΤΙΚΟΥ,ΤΑΜΑΣΙΟΥ,ΚΑΡΔΙΤΣΑΣ,ΣΟΦΑΔΩΝ,1.998,18.516,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-05,2010-10-04,"MULTIPOLYGON (((22.225737745034042 39.2554375751968, 22.223605933496785 39.25526338728908, 22.223363686869266 39.257055183542576, 22.22549556357454 39.25722936823489, 22.225737745034042 39.2554375751968)))"
V_SDI_R_PHOTOVOLTAICS13.12509,12509,Γ-02802,ERTIF Ε.Π.Ε.,ΑΔ-02036,1ο ΧΛΜ ΠΕΡΙΦΕΡΕΙΑΣ ΕΛΙΚΩΝΑ,ΑΛΙΑΡΤΟΥ,ΒΟΙΩΤΙΑΣ,ΑΛΙΑΡΤΟΥ - ΘΕΣΠΙΕΩΝ,3.516,14.634,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-08-10,2010-10-14,"MULTIPOLYGON (((23.135348314208176 38.452399672923725, 23.140173095326038 38.45239913183714, 23.140163330658364 38.451290593581504, 23.13536143400915 38.451300315390746, 23.135348314208176 38.452399672923725)))"
V_SDI_R_PHOTOVOLTAICS13.14002,14002,Γ-02338,ΣΑΜΕΡΚΑΣ Α.Ε.,ΑΔ-01409,Δ.Δ. ΜΑΓΙΚΟΥ,"ΒΙΣΤΩΝΙΔΟΣ,ΤΟΠΕΙΡΟΥ",ΞΑΝΘΗΣ,"ΑΒΔΗΡΩΝ,ΤΟΠΕΙΡΟΥ",1.998,25.102,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2009-12-22,"MULTIPOLYGON (((24.878242744466867 41.02861303328918, 24.883695752088336 41.02898571979233, 24.88094390162007 41.027790708948714, 24.878896392190068 41.02677943070992, 24.87847855594104 41.026665512404634, 24.878242744466867 41.02861303328918)))"
V_SDI_R_PHOTOVOLTAICS13.11965,11965,Γ-02068,ΜΠΗΤΡΟΣ ΜΕΤΑΛΛΟΥΡΓΙΚΗ ΑΕΒΕ,ΑΔ-01333,ΜΑΥΡΗ ΩΡΑ,ΑΣΠΡΟΠΥΡΓΟΥ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΣΠΡΟΠΥΡΓΟΥ,1.953,45.854,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-08,2009-12-15,"MULTIPOLYGON (((23.62968840055657 38.06571829764422, 23.63103185792748 38.0656301781049, 23.63284425822403 38.06530034598476, 23.63272133032509 38.06482662346395, 23.632688593795066 38.06470046941134, 23.632645970665045 38.06453617871118, 23.63225694879353 38.0645828017831, 23.63226071685081 38.06382538535766, 23.632909387530667 38.06381459679653, 23.632837127782153 38.06362017421712, 23.633526672798183 38.06354137380591, 23.633502750527395 38.06341686070549, 23.63342858804367 38.063285981177714, 23.633035407748284 38.062406826026425, 23.6328891492767 38.06177557849645, 23.63230226189774 38.06169221516355, 23.631709465670216 38.061553059710995, 23.631629955893285 38.06152344715272, 23.631554507830458 38.061474947608616, 23.631358339399082 38.061290554314986, 23.630758732722178 38.061044526971976, 23.630788985495673 38.06205199112039, 23.630769406215837 38.062790584554456, 23.630613223374347 38.06280617254949, 23.63059020562343 38.06385869481666, 23.630652384960268 38.064043524598915, 23.630587707984084 38.06438948153901, 23.630668529862835 38.06509521435962, 23.63045042542409 38.065111625985466, 23.63047216055006 38.06529382313467, 23.629672166659766 38.06536102781584, 23.62968840055657 38.06571829764422)))"
V_SDI_R_PHOTOVOLTAICS13.12300,12300,Γ-01823,GDP SOLAR AE,ΑΔ-01253,ΒΙ.ΠΕ. ΚΑΛΑΜΑΤΑΣ Β,ΜΕΛΙΓΑΛΑ,ΜΕΣΣΗΝΙΑΣ,ΟΙΧΑΛΙΑΣ,2.168,21.216,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-04-03,2009-06-02,"MULTIPOLYGON (((21.98815030634448 37.21563108703147, 21.993349405558995 37.21547597068367, 21.993369454134218 37.214719255021755, 21.993192575492518 37.21459008149345, 21.988287112188935 37.21472314315845, 21.98811408817442 37.21487341690451, 21.98815030634448 37.21563108703147)))"
V_SDI_R_PHOTOVOLTAICS13.13349,13349,Γ-02108,ΙΠΠΟΘΟΗ ΕΝΕΡΓΕΙΑΚΗ ΜΟΝ. ΑΕ,ΑΔ-01798,ΔΑΣΚΑΛΟΣ-ΓΛΥΝΕΣ Δ.Δ. ΟΙΝΟΗΣ,ΠΗΝΕΙΑΣ,ΗΛΕΙΑΣ,ΗΛΙΔΑΣ,1.995,21.239,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-09-29,"MULTIPOLYGON (((21.519410282591426 37.83900444687567, 21.519223638830418 37.83838310697113, 21.51713231729018 37.8393176951106, 21.516400205062165 37.83925636563317, 21.515307193459975 37.838728808531705, 21.515220303915918 37.83934395659513, 21.51514978967451 37.83950269234478, 21.514996435436167 37.83952422598573, 21.514814028009496 37.83988081422946, 21.515406904122404 37.84006957655395, 21.51561774072653 37.840178437196165, 21.51578173746053 37.8404834602573, 21.516391872819923 37.84045943607535, 21.516988292972286 37.84036495983474, 21.517642400572857 37.84012542178489, 21.517888089022044 37.839923890953, 21.518080005538422 37.83970958355409, 21.519000542915435 37.83912519989516, 21.519410282591426 37.83900444687567)))"
V_SDI_R_PHOTOVOLTAICS13.13421,13421,Γ-02478,ΚΑΡΑΤΖΗ ΒΙΟΜΗΧΑΝΙΚΕΣ ΚΑΙ ΞΕΝΟΔΟΧΕΙΑΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΑΕ ΚΑΙ ΣΙΑ ΕΕ,ΑΔ-01593,ΚΟΥΚΚΟΥ,"ΚΟΡΙΝΟΥ,ΠΥΔΝΑΣ",ΠΙΕΡΙΑΣ,"ΚΑΤΕΡΙΝΗΣ,ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ",5.5,28.049,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-06-02,"MULTIPOLYGON (((22.510212943945273 40.39710858573381, 22.510510460608494 40.39718890233464, 22.51074568778073 40.397208508455265, 22.511155216909632 40.39721062993564, 22.51154765831136 40.39717541442823, 22.5149778793657 40.39663540547643, 22.51500161493505 40.396557965862435, 22.514829630946537 40.39583740845804, 22.514850255234276 40.39548867898414, 22.514930177175156 40.39532619891837, 22.51557990381179 40.39443421988348, 22.516067092352042 40.39357636565344, 22.516159574843336 40.39334062548779, 22.516274725059013 40.392184943819736, 22.51627857596429 40.39197193894313, 22.51572542012738 40.39211627420425, 22.515025073827296 40.39235312692606, 22.51485141477353 40.39246530603785, 22.515058704409483 40.392913896066254, 22.51462607903784 40.39320796602749, 22.51439994938746 40.3934075747632, 22.513364378328564 40.393628308073296, 22.512849040218562 40.393921848230924, 22.51256678487009 40.39401055579179, 22.512268650856 40.394162208850496, 22.511496571846507 40.3944339712309, 22.51100200324378 40.39467191692562, 22.510819165894812 40.394873877800364, 22.51048714524962 40.395359850410806, 22.510365934530416 40.39568980631169, 22.510258998436907 40.39634497730425, 22.510212943945273 40.39710858573381)))"
V_SDI_R_PHOTOVOLTAICS13.12956,12956,Γ-02151,ΤΖΑΣΠΕΡ PV ΛΥΚΟΡΕΜΑ ΕΝΕΡΓΕΙΑΚΗ ΜΕΠΕ,ΑΔ-01810,ΛΥΚΟΡΡΕΜΑ,ΠΑΛΑΜΑ,ΚΑΡΔΙΤΣΑΣ,ΠΑΛΑΜΑ,1.975,67.794,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-09-29,"MULTIPOLYGON (((22.110958580601615 39.55029201527507, 22.114519347571846 39.55073725901446, 22.11534609493525 39.54857036890072, 22.115000181175063 39.54759172995721, 22.116160181935577 39.54643930460924, 22.113429641647112 39.54585443303332, 22.110958580601615 39.55029201527507)))"
V_SDI_R_PHOTOVOLTAICS13.12255,12255,Γ-01779,ΑΙΟΛΙΚΗ ΔΡΑΓΟΥΝΙΟΥ Φ/Β Α.Ε.,ΑΔ-01126,ΔΡΑΓΟΥΝΙ - ΜΠΑΣΤΟΥΝΑ,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,2.1,21.808,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-02-20,2008-10-29,"MULTIPOLYGON (((22.532722467821838 37.40256856553234, 22.53205588377523 37.402569303455664, 22.532035181489114 37.4042094106449, 22.531988411211966 37.40428993618257, 22.53142505283451 37.40421083529861, 22.530999526344168 37.40401627568087, 22.530918524042168 37.40411441198335, 22.531049317174304 37.40435938792526, 22.531994165145868 37.40573208571289, 22.532491168472312 37.40573825638132, 22.532495562742827 37.4055129862389, 22.532555028195294 37.40536050360752, 22.532717031183093 37.40516422870462, 22.532933928981183 37.40504975171389, 22.53325266053727 37.404927524833866, 22.53341307986973 37.40481234619864, 22.53398914524634 37.404819491310036, 22.53399423722458 37.404558177727715, 22.532722467821838 37.40256856553234)))"
V_SDI_R_PHOTOVOLTAICS13.13273,13273,Γ-01778,ΦΩΤΟΒΟΛΤΑΙΚΑ ΤΡΑΓΑΝΟΥ ΑΕ,ΑΔ-01151,ΟΛΓΑ,ΤΡΑΓΑΝΟΥ,ΗΛΕΙΑΣ,ΠΗΝΕΙΟΥ,1.98,26.986,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-02-20,2008-11-21,"MULTIPOLYGON (((21.353590473222983 37.901360353528545, 21.355580891651538 37.90323628374543, 21.355928894097005 37.90301966093109, 21.35608643672708 37.902917462337726, 21.356282858543477 37.90283021194807, 21.35653671399486 37.902832691280096, 21.35665333288727 37.90283806923799, 21.356768066862557 37.90284813530617, 21.35692208486004 37.902865986109816, 21.357357312636225 37.902937667747125, 21.3577407801476 37.902999715125446, 21.358295186009954 37.90308890181033, 21.35846692707134 37.90306496984254, 21.358552733592983 37.90307466389187, 21.358858787755075 37.90312767963615, 21.35888336690251 37.903127871087904, 21.359467795027786 37.90310706673224, 21.359570073810637 37.902722517992316, 21.359614967401107 37.90257054311776, 21.35971521852648 37.90230023961492, 21.359389664571403 37.90223513764599, 21.3591427875712 37.902203239261986, 21.35900821261622 37.90217053686383, 21.358873386297013 37.90209112654143, 21.358747505812342 37.90200292432188, 21.35859703631702 37.901883984192416, 21.358459323603284 37.9018814864533, 21.358412112256538 37.90185944047964, 21.358402871416803 37.901826254033445, 21.358369253479772 37.90170553147261, 21.35792272546279 37.901903810776396, 21.357816807080116 37.90193280673609, 21.35764858497983 37.90194490478082, 21.357394646473413 37.90202142225748, 21.35735861229671 37.90163202914217, 21.357183069378852 37.901480094673914, 21.35706926180924 37.90130024445826, 21.356859576192043 37.90133882913924, 21.356746794031693 37.90119104347608, 21.356642853656936 37.90121149570152, 21.35746188038028 37.9021210945206, 21.357280641921797 37.90218994593889, 21.3570551353009 37.90218691579847, 21.35674020032534 37.90218804799582, 21.356691894406882 37.902213751112164, 21.356667718085074 37.90245935126833, 21.356691822766425 37.90262180498228, 21.35660599943317 37.902667885015134, 21.356519280757443 37.902676388550844, 21.35641004133698 37.90265992203116, 21.356332146280263 37.90262905804855, 21.356239748345853 37.90257797258538, 21.355983424117014 37.902388142163765, 21.355685867199544 37.90216846016956, 21.355495350002478 37.90160430166395, 21.355458193352124 37.90150886370765, 21.355445288731833 37.901491336250906, 21.355400903775813 37.90146343264027, 21.355139599221786 37.9013321837147, 21.354963736951 37.90126996667585, 21.354908801231897 37.9012607479619, 21.35482641749436 37.90127240235101, 21.354677815154353 37.901332684672546, 21.354650880388448 37.901341765376046, 21.354623564856347 37.90134560233468, 21.354566128646518 37.90134269774197, 21.354418090734043 37.901276420113895, 21.354345696085563 37.90125238245673, 21.354291102310558 37.90124727098204, 21.35423832638535 37.90125680659898, 21.354108101684506 37.90129990378617, 21.354000072774003 37.90132907408853, 21.353830061116053 37.90134290151286, 21.353773441767096 37.90134005095116, 21.35371941298534 37.90132551779298, 21.35369604398885 37.9013147379738, 21.353670593815128 37.9012985680274, 21.353590473222983 37.901360353528545)))"
V_SDI_R_PHOTOVOLTAICS13.12235,12235,Γ-01743,ΤΕΚΟΜ ΑΒΕΤΕ,ΑΔ-01044,ΒΙ.ΠΕ ΒΟΛΟΥ,ΑΙΣΩΝΙΑΣ,ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΥ,1.952,18.374,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2006-12-22,2007-05-30,"MULTIPOLYGON (((22.885144689158427 39.369866770840545, 22.88439083901454 39.366904136932526, 22.88275003604672 39.36715870668912, 22.883132723274432 39.36864008480128, 22.883970552888538 39.368512967386124, 22.88435327271813 39.369994341617755, 22.885144689158427 39.369866770840545)))"
V_SDI_R_PHOTOVOLTAICS13.13576,13576,Γ-02429,ΕΝΕΡΓΕΙΑΚΗ ΞΑΝΘΗΣ-Α.Ε. ΠΑΡΑΓΩΓΗΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ (Δ.Τ. ΕΝΕΡΓΕΙΑΚΗ ΞΑΝΘΗΣ Α.Ε ΠΑΡΑΓΩΓΗΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ),ΑΔ-01387,ΓΕΝΙΤΣΕΑΣ,ΒΙΣΤΩΝΙΔΟΣ,ΞΑΝΘΗΣ,ΑΒΔΗΡΩΝ,5.016,72.748,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2009-12-15,"MULTIPOLYGON (((24.94664109946236 41.037800130186206, 24.948154525865874 41.040463046930846, 24.949149256467543 41.040139581165896, 24.95107920922893 41.03949311500077, 24.954299894129385 41.038430578927894, 24.955791698619908 41.03793178807005, 24.955510939021433 41.03743867955061, 24.956576437463113 41.03707853122378, 24.956703345684193 41.037626962028796, 24.956765931768643 41.03455473498533, 24.955388516997722 41.03390858158763, 24.955102262061217 41.03385690650182, 24.951317952211213 41.03459082497468, 24.946994349128673 41.037545005768024, 24.94664109946236 41.037800130186206)))"
V_SDI_R_PHOTOVOLTAICS13.11367,11367,Γ-03067,ΕΝΕΞΟΝ ΕΛΛΑΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΠΩΛΗΣΗΣ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΔ-01761,ΓΚΙΩΝΑ Ι,ΑΒΔΗΡΩΝ,ΞΑΝΘΗΣ,ΑΒΔΗΡΩΝ,3.3,34.54,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-12-07,2010-09-29,"MULTIPOLYGON (((24.917264493166783 41.01099574829367, 24.919552895154126 41.01050909919189, 24.918416805283332 41.007482462576284, 24.91790703014205 41.00759461917058, 24.917796019601983 41.007307247197, 24.918317682799742 41.00719499638371, 24.917675907224023 41.00550660360944, 24.915387663144454 41.00599321418499, 24.917264493166783 41.01099574829367)))"
